row_id,timestamp,point_path,equipment,alarm_class,priority,transition,value,limit,deadband,units
R00081,2026-07-13T06:09:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.625,1.600,0.040,inH2O
R00082,2026-07-13T06:11:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.541,1.600,0.040,inH2O
R00083,2026-07-13T06:13:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.623,1.600,0.040,inH2O
R00084,2026-07-13T06:13:00-07:00,SYN1/AHU-1/SA_TEMP,AHU-1,CriticalAlarmClass,2,RTN,54.201,58.000,1.500,degF
R00085,2026-07-13T06:15:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.538,1.600,0.040,inH2O
R00086,2026-07-13T06:17:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.626,1.600,0.040,inH2O
R00087,2026-07-13T06:19:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.542,1.600,0.040,inH2O
R00088,2026-07-13T06:21:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.625,1.600,0.040,inH2O
R00089,2026-07-13T06:23:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.539,1.600,0.040,inH2O
R00090,2026-07-13T06:25:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.622,1.600,0.040,inH2O
R00091,2026-07-13T06:27:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.540,1.600,0.040,inH2O
R00092,2026-07-13T06:29:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.622,1.600,0.040,inH2O
R00093,2026-07-13T06:31:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.540,1.600,0.040,inH2O
R00094,2026-07-13T06:31:00-07:00,SYN1/RTU-3/DA_TEMP,RTU-3,CriticalAlarmClass,1,REPEAT,69.358,62.000,1.500,degF
R00095,2026-07-13T06:33:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.626,1.600,0.040,inH2O
R00096,2026-07-13T06:35:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.540,1.600,0.040,inH2O
R00097,2026-07-13T06:37:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.622,1.600,0.040,inH2O
R00098,2026-07-13T06:39:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.538,1.600,0.040,inH2O
R00099,2026-07-13T06:41:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.622,1.600,0.040,inH2O
R00100,2026-07-13T06:43:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.540,1.600,0.040,inH2O
R00101,2026-07-13T07:00:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.228,60.000,1.200,degF
R00102,2026-07-13T07:02:00-07:00,SYN1/AHU-1/SF_SPD,AHU-1,DefaultAlarmClass,3,ALARM,88.916,85.000,2.000,pct
R00103,2026-07-13T07:21:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,55.166,60.000,1.200,degF
R00104,2026-07-13T07:30:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.541,60.000,1.200,degF
R00105,2026-07-13T07:31:00-07:00,SYN1/RTU-3/DA_TEMP,RTU-3,CriticalAlarmClass,1,REPEAT,69.513,62.000,1.500,degF
R00106,2026-07-13T07:51:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,54.844,60.000,1.200,degF
R00107,2026-07-13T08:00:00-07:00,SYN1/RTU-3/COMP_STATUS,RTU-3,DefaultAlarmClass,4,ALARM,106.866,95.000,2.000,pct
R00108,2026-07-13T08:00:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.368,60.000,1.200,degF
R00109,2026-07-13T08:01:00-07:00,SYN1/AHU-1/SA_TEMP,AHU-1,CriticalAlarmClass,2,ALARM,71.641,58.000,1.500,degF
R00110,2026-07-13T08:21:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,55.076,60.000,1.200,degF
R00111,2026-07-13T08:30:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.562,60.000,1.200,degF
R00112,2026-07-13T08:31:00-07:00,SYN1/RTU-3/DA_TEMP,RTU-3,CriticalAlarmClass,1,REPEAT,69.262,62.000,1.500,degF
R00113,2026-07-13T08:51:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,55.005,60.000,1.200,degF
R00114,2026-07-13T09:00:00-07:00,SYN1/RTU-3/COMP_STATUS,RTU-3,DefaultAlarmClass,4,RTN,45.296,95.000,2.000,pct
R00115,2026-07-13T09:00:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.594,60.000,1.200,degF
R00116,2026-07-13T09:01:00-07:00,SYN1/AHU-1/SA_TEMP,AHU-1,CriticalAlarmClass,2,REPEAT,71.307,58.000,1.500,degF
R00117,2026-07-13T09:21:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,54.991,60.000,1.200,degF
R00118,2026-07-13T09:30:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.310,60.000,1.200,degF
R00119,2026-07-13T09:31:00-07:00,SYN1/RTU-3/DA_TEMP,RTU-3,CriticalAlarmClass,1,REPEAT,69.471,62.000,1.500,degF
R00120,2026-07-13T09:51:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,54.997,60.000,1.200,degF
R00121,2026-07-13T10:00:00-07:00,SYN1/RTU-3/COMP_STATUS,RTU-3,DefaultAlarmClass,4,ALARM,107.578,95.000,2.000,pct
R00122,2026-07-13T10:00:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.388,60.000,1.200,degF
R00123,2026-07-13T10:01:00-07:00,SYN1/AHU-1/SA_TEMP,AHU-1,CriticalAlarmClass,2,REPEAT,71.278,58.000,1.500,degF
R00124,2026-07-13T10:02:00-07:00,SYN1/AHU-1/SF_SPD,AHU-1,DefaultAlarmClass,3,RTN,62.060,85.000,2.000,pct
R00125,2026-07-13T10:13:00-07:00,SYN1/AHU-1/SA_TEMP,AHU-1,CriticalAlarmClass,2,RTN,54.099,58.000,1.500,degF
R00126,2026-07-13T10:21:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,55.130,60.000,1.200,degF
R00127,2026-07-13T10:30:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.386,60.000,1.200,degF
R00128,2026-07-13T10:31:00-07:00,SYN1/RTU-3/DA_TEMP,RTU-3,CriticalAlarmClass,1,REPEAT,69.381,62.000,1.500,degF
R00129,2026-07-13T10:51:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,55.033,60.000,1.200,degF
R00130,2026-07-13T11:00:00-07:00,SYN1/RTU-3/COMP_STATUS,RTU-3,DefaultAlarmClass,4,RTN,45.604,95.000,2.000,pct
R00131,2026-07-13T11:00:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.341,60.000,1.200,degF
R00132,2026-07-13T11:21:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,54.962,60.000,1.200,degF
R00133,2026-07-13T11:30:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.252,60.000,1.200,degF
R00134,2026-07-13T11:31:00-07:00,SYN1/RTU-3/DA_TEMP,RTU-3,CriticalAlarmClass,1,REPEAT,69.765,62.000,1.500,degF
R00135,2026-07-13T11:51:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,55.236,60.000,1.200,degF
R00136,2026-07-13T12:00:00-07:00,SYN1/RTU-3/COMP_STATUS,RTU-3,DefaultAlarmClass,4,ALARM,106.980,95.000,2.000,pct
R00137,2026-07-13T12:00:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.287,60.000,1.200,degF
R00138,2026-07-13T12:00:00-07:00,SYN1/VAV-2-14/AIRFLOW,VAV-2-14,DefaultAlarmClass,3,ALARM,135.359,180.000,12.000,cfm
R00139,2026-07-13T12:01:00-07:00,SYN1/AHU-1/SA_TEMP,AHU-1,CriticalAlarmClass,2,ALARM,71.608,58.000,1.500,degF
R00140,2026-07-13T12:02:00-07:00,SYN1/AHU-1/SF_SPD,AHU-1,DefaultAlarmClass,3,ALARM,88.799,85.000,2.000,pct
R00141,2026-07-13T12:03:00-07:00,SYN1/VAV-2-14/AIRFLOW,VAV-2-14,DefaultAlarmClass,3,RTN,337.573,180.000,12.000,cfm
R00142,2026-07-13T12:21:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,54.993,60.000,1.200,degF
R00143,2026-07-13T12:30:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.200,60.000,1.200,degF
R00144,2026-07-13T12:31:00-07:00,SYN1/RTU-3/DA_TEMP,RTU-3,CriticalAlarmClass,1,REPEAT,69.493,62.000,1.500,degF
R00145,2026-07-13T12:51:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,55.058,60.000,1.200,degF
R00146,2026-07-13T13:00:00-07:00,SYN1/RTU-3/COMP_STATUS,RTU-3,DefaultAlarmClass,4,RTN,45.339,95.000,2.000,pct
R00147,2026-07-13T13:00:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.583,60.000,1.200,degF
R00148,2026-07-13T13:01:00-07:00,SYN1/AHU-1/SA_TEMP,AHU-1,CriticalAlarmClass,2,REPEAT,71.501,58.000,1.500,degF
R00149,2026-07-13T13:21:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,54.893,60.000,1.200,degF
R00150,2026-07-13T13:30:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.288,60.000,1.200,degF
R00151,2026-07-13T13:31:00-07:00,SYN1/RTU-3/DA_TEMP,RTU-3,CriticalAlarmClass,1,REPEAT,69.703,62.000,1.500,degF
R00152,2026-07-13T13:51:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,54.869,60.000,1.200,degF
R00153,2026-07-13T14:00:00-07:00,SYN1/RTU-3/COMP_STATUS,RTU-3,DefaultAlarmClass,4,ALARM,107.017,95.000,2.000,pct
R00154,2026-07-13T14:00:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.522,60.000,1.200,degF
R00155,2026-07-13T14:01:00-07:00,SYN1/AHU-1/SA_TEMP,AHU-1,CriticalAlarmClass,2,REPEAT,71.704,58.000,1.500,degF
R00156,2026-07-13T14:13:00-07:00,SYN1/AHU-1/SA_TEMP,AHU-1,CriticalAlarmClass,2,RTN,54.135,58.000,1.500,degF
R00157,2026-07-13T14:21:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,55.248,60.000,1.200,degF
R00158,2026-07-13T14:30:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.370,60.000,1.200,degF
R00159,2026-07-13T14:31:00-07:00,SYN1/RTU-3/DA_TEMP,RTU-3,CriticalAlarmClass,1,REPEAT,69.666,62.000,1.500,degF
R00160,2026-07-13T14:51:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,54.995,60.000,1.200,degF
R00161,2026-07-13T15:00:00-07:00,SYN1/RTU-3/COMP_STATUS,RTU-3,DefaultAlarmClass,4,RTN,44.716,95.000,2.000,pct
R00162,2026-07-13T15:00:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.565,60.000,1.200,degF
R00163,2026-07-13T15:02:00-07:00,SYN1/AHU-1/SF_SPD,AHU-1,DefaultAlarmClass,3,RTN,62.040,85.000,2.000,pct
R00164,2026-07-13T15:21:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,55.006,60.000,1.200,degF
R00165,2026-07-13T15:30:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.619,60.000,1.200,degF
R00166,2026-07-13T15:31:00-07:00,SYN1/RTU-3/DA_TEMP,RTU-3,CriticalAlarmClass,1,REPEAT,69.627,62.000,1.500,degF
R00167,2026-07-13T15:46:00-07:00,SYN1/VAV-2-14/ZONE_TEMP,VAV-2-14,DefaultAlarmClass,2,ALARM,76.064,76.000,1.000,degF
R00168,2026-07-13T15:51:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,54.788,60.000,1.200,degF
R00169,2026-07-13T16:00:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.407,60.000,1.200,degF
R00170,2026-07-13T16:01:00-07:00,SYN1/AHU-1/SA_TEMP,AHU-1,CriticalAlarmClass,2,ALARM,71.629,58.000,1.500,degF
R00171,2026-07-13T16:21:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,55.010,60.000,1.200,degF
R00172,2026-07-13T16:30:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.280,60.000,1.200,degF
R00173,2026-07-13T16:31:00-07:00,SYN1/RTU-3/DA_TEMP,RTU-3,CriticalAlarmClass,1,REPEAT,69.304,62.000,1.500,degF
R00174,2026-07-13T16:51:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,RTN,55.147,60.000,1.200,degF
R00175,2026-07-13T17:00:00-07:00,SYN1/RTU-3/SA_TEMP,RTU-3,DefaultAlarmClass,3,ALARM,62.344,60.000,1.200,degF
R00176,2026-07-13T17:01:00-07:00,SYN1/AHU-1/SA_TEMP,AHU-1,CriticalAlarmClass,2,REPEAT,71.735,58.000,1.500,degF
