sample_index,timestamp,point_path,value,units
34,2026-07-13T00:34:00-07:00,SYN1/RTU-3/COMP_STATUS,44.907,pct
35,2026-07-13T00:35:00-07:00,SYN1/RTU-3/COMP_STATUS,44.710,pct
36,2026-07-13T00:36:00-07:00,SYN1/RTU-3/COMP_STATUS,45.715,pct
37,2026-07-13T00:37:00-07:00,SYN1/RTU-3/COMP_STATUS,44.760,pct
38,2026-07-13T00:38:00-07:00,SYN1/RTU-3/COMP_STATUS,44.328,pct
39,2026-07-13T00:39:00-07:00,SYN1/RTU-3/COMP_STATUS,44.482,pct
40,2026-07-13T00:40:00-07:00,SYN1/RTU-3/COMP_STATUS,44.657,pct
41,2026-07-13T00:41:00-07:00,SYN1/RTU-3/COMP_STATUS,44.979,pct
42,2026-07-13T00:42:00-07:00,SYN1/RTU-3/COMP_STATUS,44.253,pct
43,2026-07-13T00:43:00-07:00,SYN1/RTU-3/COMP_STATUS,44.800,pct
44,2026-07-13T00:44:00-07:00,SYN1/RTU-3/COMP_STATUS,44.298,pct
45,2026-07-13T00:45:00-07:00,SYN1/RTU-3/COMP_STATUS,45.508,pct
46,2026-07-13T00:46:00-07:00,SYN1/RTU-3/COMP_STATUS,45.148,pct
47,2026-07-13T00:47:00-07:00,SYN1/RTU-3/COMP_STATUS,44.833,pct
48,2026-07-13T00:48:00-07:00,SYN1/RTU-3/COMP_STATUS,45.265,pct
49,2026-07-13T00:49:00-07:00,SYN1/RTU-3/COMP_STATUS,45.258,pct
50,2026-07-13T00:50:00-07:00,SYN1/RTU-3/COMP_STATUS,45.789,pct
51,2026-07-13T00:51:00-07:00,SYN1/RTU-3/COMP_STATUS,45.388,pct
52,2026-07-13T00:52:00-07:00,SYN1/RTU-3/COMP_STATUS,45.125,pct
53,2026-07-13T00:53:00-07:00,SYN1/RTU-3/COMP_STATUS,44.408,pct
54,2026-07-13T00:54:00-07:00,SYN1/RTU-3/COMP_STATUS,44.746,pct
55,2026-07-13T00:55:00-07:00,SYN1/RTU-3/COMP_STATUS,45.626,pct
56,2026-07-13T00:56:00-07:00,SYN1/RTU-3/COMP_STATUS,45.740,pct
57,2026-07-13T00:57:00-07:00,SYN1/RTU-3/COMP_STATUS,44.393,pct
58,2026-07-13T00:58:00-07:00,SYN1/RTU-3/COMP_STATUS,44.443,pct
59,2026-07-13T00:59:00-07:00,SYN1/RTU-3/COMP_STATUS,44.723,pct
60,2026-07-13T01:00:00-07:00,SYN1/RTU-3/COMP_STATUS,44.239,pct
61,2026-07-13T01:01:00-07:00,SYN1/RTU-3/COMP_STATUS,44.863,pct
62,2026-07-13T01:02:00-07:00,SYN1/RTU-3/COMP_STATUS,45.022,pct
63,2026-07-13T01:03:00-07:00,SYN1/RTU-3/COMP_STATUS,45.025,pct
64,2026-07-13T01:04:00-07:00,SYN1/RTU-3/COMP_STATUS,44.378,pct
65,2026-07-13T01:05:00-07:00,SYN1/RTU-3/COMP_STATUS,44.757,pct
66,2026-07-13T01:06:00-07:00,SYN1/RTU-3/COMP_STATUS,45.427,pct
67,2026-07-13T01:07:00-07:00,SYN1/RTU-3/COMP_STATUS,44.869,pct
68,2026-07-13T01:08:00-07:00,SYN1/RTU-3/COMP_STATUS,44.382,pct
69,2026-07-13T01:09:00-07:00,SYN1/RTU-3/COMP_STATUS,44.519,pct
70,2026-07-13T01:10:00-07:00,SYN1/RTU-3/COMP_STATUS,45.343,pct
71,2026-07-13T01:11:00-07:00,SYN1/RTU-3/COMP_STATUS,44.289,pct
72,2026-07-13T01:12:00-07:00,SYN1/RTU-3/COMP_STATUS,44.458,pct
73,2026-07-13T01:13:00-07:00,SYN1/RTU-3/COMP_STATUS,44.587,pct
74,2026-07-13T01:14:00-07:00,SYN1/RTU-3/COMP_STATUS,44.642,pct
75,2026-07-13T01:15:00-07:00,SYN1/RTU-3/COMP_STATUS,44.593,pct
76,2026-07-13T01:16:00-07:00,SYN1/RTU-3/COMP_STATUS,44.461,pct
77,2026-07-13T01:17:00-07:00,SYN1/RTU-3/COMP_STATUS,45.020,pct
78,2026-07-13T01:18:00-07:00,SYN1/RTU-3/COMP_STATUS,45.020,pct
79,2026-07-13T01:19:00-07:00,SYN1/RTU-3/COMP_STATUS,44.940,pct
80,2026-07-13T01:20:00-07:00,SYN1/RTU-3/COMP_STATUS,44.845,pct
81,2026-07-13T01:21:00-07:00,SYN1/RTU-3/COMP_STATUS,44.514,pct
82,2026-07-13T01:22:00-07:00,SYN1/RTU-3/COMP_STATUS,44.437,pct
83,2026-07-13T01:23:00-07:00,SYN1/RTU-3/COMP_STATUS,44.587,pct
84,2026-07-13T01:24:00-07:00,SYN1/RTU-3/COMP_STATUS,44.485,pct
85,2026-07-13T01:25:00-07:00,SYN1/RTU-3/COMP_STATUS,45.440,pct
86,2026-07-13T01:26:00-07:00,SYN1/RTU-3/COMP_STATUS,44.432,pct
87,2026-07-13T01:27:00-07:00,SYN1/RTU-3/COMP_STATUS,44.858,pct
88,2026-07-13T01:28:00-07:00,SYN1/RTU-3/COMP_STATUS,45.305,pct
89,2026-07-13T01:29:00-07:00,SYN1/RTU-3/COMP_STATUS,44.943,pct
90,2026-07-13T01:30:00-07:00,SYN1/RTU-3/COMP_STATUS,44.579,pct
91,2026-07-13T01:31:00-07:00,SYN1/RTU-3/COMP_STATUS,45.445,pct
92,2026-07-13T01:32:00-07:00,SYN1/RTU-3/COMP_STATUS,44.562,pct
93,2026-07-13T01:33:00-07:00,SYN1/RTU-3/COMP_STATUS,45.527,pct
94,2026-07-13T01:34:00-07:00,SYN1/RTU-3/COMP_STATUS,45.505,pct
95,2026-07-13T01:35:00-07:00,SYN1/RTU-3/COMP_STATUS,45.092,pct
96,2026-07-13T01:36:00-07:00,SYN1/RTU-3/COMP_STATUS,45.784,pct
97,2026-07-13T01:37:00-07:00,SYN1/RTU-3/COMP_STATUS,44.659,pct
98,2026-07-13T01:38:00-07:00,SYN1/RTU-3/COMP_STATUS,45.437,pct
99,2026-07-13T01:39:00-07:00,SYN1/RTU-3/COMP_STATUS,44.213,pct
100,2026-07-13T01:40:00-07:00,SYN1/RTU-3/COMP_STATUS,44.745,pct
101,2026-07-13T01:41:00-07:00,SYN1/RTU-3/COMP_STATUS,45.307,pct
102,2026-07-13T01:42:00-07:00,SYN1/RTU-3/COMP_STATUS,45.192,pct
103,2026-07-13T01:43:00-07:00,SYN1/RTU-3/COMP_STATUS,45.749,pct
104,2026-07-13T01:44:00-07:00,SYN1/RTU-3/COMP_STATUS,44.595,pct
105,2026-07-13T01:45:00-07:00,SYN1/RTU-3/COMP_STATUS,44.564,pct
106,2026-07-13T01:46:00-07:00,SYN1/RTU-3/COMP_STATUS,44.827,pct
107,2026-07-13T01:47:00-07:00,SYN1/RTU-3/COMP_STATUS,45.476,pct
108,2026-07-13T01:48:00-07:00,SYN1/RTU-3/COMP_STATUS,45.124,pct
109,2026-07-13T01:49:00-07:00,SYN1/RTU-3/COMP_STATUS,45.261,pct
110,2026-07-13T01:50:00-07:00,SYN1/RTU-3/COMP_STATUS,44.932,pct
111,2026-07-13T01:51:00-07:00,SYN1/RTU-3/COMP_STATUS,44.691,pct
112,2026-07-13T01:52:00-07:00,SYN1/RTU-3/COMP_STATUS,44.931,pct
113,2026-07-13T01:53:00-07:00,SYN1/RTU-3/COMP_STATUS,44.350,pct
114,2026-07-13T01:54:00-07:00,SYN1/RTU-3/COMP_STATUS,44.675,pct
115,2026-07-13T01:55:00-07:00,SYN1/RTU-3/COMP_STATUS,45.367,pct
116,2026-07-13T01:56:00-07:00,SYN1/RTU-3/COMP_STATUS,44.692,pct
117,2026-07-13T01:57:00-07:00,SYN1/RTU-3/COMP_STATUS,44.922,pct
118,2026-07-13T01:58:00-07:00,SYN1/RTU-3/COMP_STATUS,45.012,pct
119,2026-07-13T01:59:00-07:00,SYN1/RTU-3/COMP_STATUS,45.033,pct
120,2026-07-13T02:00:00-07:00,SYN1/RTU-3/COMP_STATUS,45.608,pct
121,2026-07-13T02:01:00-07:00,SYN1/RTU-3/COMP_STATUS,44.840,pct
122,2026-07-13T02:02:00-07:00,SYN1/RTU-3/COMP_STATUS,45.668,pct
123,2026-07-13T02:03:00-07:00,SYN1/RTU-3/COMP_STATUS,45.199,pct
124,2026-07-13T02:04:00-07:00,SYN1/RTU-3/COMP_STATUS,44.987,pct
125,2026-07-13T02:05:00-07:00,SYN1/RTU-3/COMP_STATUS,44.764,pct
126,2026-07-13T02:06:00-07:00,SYN1/RTU-3/COMP_STATUS,44.731,pct
127,2026-07-13T02:07:00-07:00,SYN1/RTU-3/COMP_STATUS,44.716,pct
128,2026-07-13T02:08:00-07:00,SYN1/RTU-3/COMP_STATUS,45.443,pct
129,2026-07-13T02:09:00-07:00,SYN1/RTU-3/COMP_STATUS,45.100,pct
130,2026-07-13T02:10:00-07:00,SYN1/RTU-3/COMP_STATUS,45.059,pct
131,2026-07-13T02:11:00-07:00,SYN1/RTU-3/COMP_STATUS,44.396,pct
132,2026-07-13T02:12:00-07:00,SYN1/RTU-3/COMP_STATUS,45.324,pct
133,2026-07-13T02:13:00-07:00,SYN1/RTU-3/COMP_STATUS,44.250,pct
134,2026-07-13T02:14:00-07:00,SYN1/RTU-3/COMP_STATUS,44.996,pct
135,2026-07-13T02:15:00-07:00,SYN1/RTU-3/COMP_STATUS,44.435,pct
136,2026-07-13T02:16:00-07:00,SYN1/RTU-3/COMP_STATUS,45.035,pct
137,2026-07-13T02:17:00-07:00,SYN1/RTU-3/COMP_STATUS,44.570,pct
138,2026-07-13T02:18:00-07:00,SYN1/RTU-3/COMP_STATUS,45.147,pct
139,2026-07-13T02:19:00-07:00,SYN1/RTU-3/COMP_STATUS,44.633,pct
140,2026-07-13T02:20:00-07:00,SYN1/RTU-3/COMP_STATUS,44.654,pct
141,2026-07-13T02:21:00-07:00,SYN1/RTU-3/COMP_STATUS,45.395,pct
142,2026-07-13T02:22:00-07:00,SYN1/RTU-3/COMP_STATUS,45.258,pct
143,2026-07-13T02:23:00-07:00,SYN1/RTU-3/COMP_STATUS,45.632,pct
144,2026-07-13T02:24:00-07:00,SYN1/RTU-3/COMP_STATUS,45.611,pct
145,2026-07-13T02:25:00-07:00,SYN1/RTU-3/COMP_STATUS,45.565,pct
146,2026-07-13T02:26:00-07:00,SYN1/RTU-3/COMP_STATUS,45.760,pct
147,2026-07-13T02:27:00-07:00,SYN1/RTU-3/COMP_STATUS,45.601,pct
148,2026-07-13T02:28:00-07:00,SYN1/RTU-3/COMP_STATUS,44.337,pct
149,2026-07-13T02:29:00-07:00,SYN1/RTU-3/COMP_STATUS,45.222,pct
150,2026-07-13T02:30:00-07:00,SYN1/RTU-3/COMP_STATUS,45.679,pct
151,2026-07-13T02:31:00-07:00,SYN1/RTU-3/COMP_STATUS,44.726,pct
152,2026-07-13T02:32:00-07:00,SYN1/RTU-3/COMP_STATUS,44.600,pct
153,2026-07-13T02:33:00-07:00,SYN1/RTU-3/COMP_STATUS,44.282,pct
154,2026-07-13T02:34:00-07:00,SYN1/RTU-3/COMP_STATUS,44.470,pct
155,2026-07-13T02:35:00-07:00,SYN1/RTU-3/COMP_STATUS,44.823,pct
156,2026-07-13T02:36:00-07:00,SYN1/RTU-3/COMP_STATUS,45.235,pct
157,2026-07-13T02:37:00-07:00,SYN1/RTU-3/COMP_STATUS,44.344,pct
158,2026-07-13T02:38:00-07:00,SYN1/RTU-3/COMP_STATUS,44.473,pct
159,2026-07-13T02:39:00-07:00,SYN1/RTU-3/COMP_STATUS,44.421,pct
160,2026-07-13T02:40:00-07:00,SYN1/RTU-3/COMP_STATUS,45.306,pct
161,2026-07-13T02:41:00-07:00,SYN1/RTU-3/COMP_STATUS,45.546,pct
162,2026-07-13T02:42:00-07:00,SYN1/RTU-3/COMP_STATUS,44.577,pct
163,2026-07-13T02:43:00-07:00,SYN1/RTU-3/COMP_STATUS,45.186,pct
164,2026-07-13T02:44:00-07:00,SYN1/RTU-3/COMP_STATUS,45.124,pct
165,2026-07-13T02:45:00-07:00,SYN1/RTU-3/COMP_STATUS,45.450,pct
166,2026-07-13T02:46:00-07:00,SYN1/RTU-3/COMP_STATUS,44.990,pct
167,2026-07-13T02:47:00-07:00,SYN1/RTU-3/COMP_STATUS,44.924,pct
168,2026-07-13T02:48:00-07:00,SYN1/RTU-3/COMP_STATUS,44.441,pct
169,2026-07-13T02:49:00-07:00,SYN1/RTU-3/COMP_STATUS,44.595,pct
170,2026-07-13T02:50:00-07:00,SYN1/RTU-3/COMP_STATUS,44.610,pct
171,2026-07-13T02:51:00-07:00,SYN1/RTU-3/COMP_STATUS,45.518,pct
172,2026-07-13T02:52:00-07:00,SYN1/RTU-3/COMP_STATUS,44.524,pct
173,2026-07-13T02:53:00-07:00,SYN1/RTU-3/COMP_STATUS,45.337,pct
174,2026-07-13T02:54:00-07:00,SYN1/RTU-3/COMP_STATUS,45.458,pct
175,2026-07-13T02:55:00-07:00,SYN1/RTU-3/COMP_STATUS,44.934,pct
176,2026-07-13T02:56:00-07:00,SYN1/RTU-3/COMP_STATUS,44.209,pct
177,2026-07-13T02:57:00-07:00,SYN1/RTU-3/COMP_STATUS,44.203,pct
178,2026-07-13T02:58:00-07:00,SYN1/RTU-3/COMP_STATUS,44.318,pct
179,2026-07-13T02:59:00-07:00,SYN1/RTU-3/COMP_STATUS,44.606,pct
180,2026-07-13T03:00:00-07:00,SYN1/RTU-3/COMP_STATUS,44.520,pct
181,2026-07-13T03:01:00-07:00,SYN1/RTU-3/COMP_STATUS,44.705,pct
182,2026-07-13T03:02:00-07:00,SYN1/RTU-3/COMP_STATUS,44.317,pct
183,2026-07-13T03:03:00-07:00,SYN1/RTU-3/COMP_STATUS,44.463,pct
184,2026-07-13T03:04:00-07:00,SYN1/RTU-3/COMP_STATUS,44.202,pct
185,2026-07-13T03:05:00-07:00,SYN1/RTU-3/COMP_STATUS,45.437,pct
186,2026-07-13T03:06:00-07:00,SYN1/RTU-3/COMP_STATUS,44.318,pct
187,2026-07-13T03:07:00-07:00,SYN1/RTU-3/COMP_STATUS,45.384,pct
188,2026-07-13T03:08:00-07:00,SYN1/RTU-3/COMP_STATUS,44.620,pct
189,2026-07-13T03:09:00-07:00,SYN1/RTU-3/COMP_STATUS,44.599,pct
190,2026-07-13T03:10:00-07:00,SYN1/RTU-3/COMP_STATUS,45.736,pct
191,2026-07-13T03:11:00-07:00,SYN1/RTU-3/COMP_STATUS,44.668,pct
192,2026-07-13T03:12:00-07:00,SYN1/RTU-3/COMP_STATUS,45.068,pct
193,2026-07-13T03:13:00-07:00,SYN1/RTU-3/COMP_STATUS,45.699,pct
194,2026-07-13T03:14:00-07:00,SYN1/RTU-3/COMP_STATUS,45.158,pct
195,2026-07-13T03:15:00-07:00,SYN1/RTU-3/COMP_STATUS,44.741,pct
196,2026-07-13T03:16:00-07:00,SYN1/RTU-3/COMP_STATUS,44.917,pct
197,2026-07-13T03:17:00-07:00,SYN1/RTU-3/COMP_STATUS,44.614,pct
198,2026-07-13T03:18:00-07:00,SYN1/RTU-3/COMP_STATUS,44.783,pct
199,2026-07-13T03:19:00-07:00,SYN1/RTU-3/COMP_STATUS,45.397,pct
200,2026-07-13T03:20:00-07:00,SYN1/RTU-3/COMP_STATUS,45.367,pct
201,2026-07-13T03:21:00-07:00,SYN1/RTU-3/COMP_STATUS,44.700,pct
202,2026-07-13T03:22:00-07:00,SYN1/RTU-3/COMP_STATUS,44.880,pct
203,2026-07-13T03:23:00-07:00,SYN1/RTU-3/COMP_STATUS,45.623,pct
204,2026-07-13T03:24:00-07:00,SYN1/RTU-3/COMP_STATUS,44.819,pct
205,2026-07-13T03:25:00-07:00,SYN1/RTU-3/COMP_STATUS,44.582,pct
206,2026-07-13T03:26:00-07:00,SYN1/RTU-3/COMP_STATUS,45.412,pct
207,2026-07-13T03:27:00-07:00,SYN1/RTU-3/COMP_STATUS,44.249,pct
208,2026-07-13T03:28:00-07:00,SYN1/RTU-3/COMP_STATUS,44.817,pct
209,2026-07-13T03:29:00-07:00,SYN1/RTU-3/COMP_STATUS,44.848,pct
210,2026-07-13T03:30:00-07:00,SYN1/RTU-3/COMP_STATUS,44.894,pct
211,2026-07-13T03:31:00-07:00,SYN1/RTU-3/COMP_STATUS,44.496,pct
212,2026-07-13T03:32:00-07:00,SYN1/RTU-3/COMP_STATUS,44.555,pct
213,2026-07-13T03:33:00-07:00,SYN1/RTU-3/COMP_STATUS,44.903,pct
214,2026-07-13T03:34:00-07:00,SYN1/RTU-3/COMP_STATUS,45.555,pct
215,2026-07-13T03:35:00-07:00,SYN1/RTU-3/COMP_STATUS,44.848,pct
216,2026-07-13T03:36:00-07:00,SYN1/RTU-3/COMP_STATUS,45.292,pct
217,2026-07-13T03:37:00-07:00,SYN1/RTU-3/COMP_STATUS,44.518,pct
218,2026-07-13T03:38:00-07:00,SYN1/RTU-3/COMP_STATUS,45.189,pct
219,2026-07-13T03:39:00-07:00,SYN1/RTU-3/COMP_STATUS,45.300,pct
220,2026-07-13T03:40:00-07:00,SYN1/RTU-3/COMP_STATUS,44.418,pct
221,2026-07-13T03:41:00-07:00,SYN1/RTU-3/COMP_STATUS,45.059,pct
222,2026-07-13T03:42:00-07:00,SYN1/RTU-3/COMP_STATUS,44.543,pct
223,2026-07-13T03:43:00-07:00,SYN1/RTU-3/COMP_STATUS,44.232,pct
224,2026-07-13T03:44:00-07:00,SYN1/RTU-3/COMP_STATUS,44.800,pct
225,2026-07-13T03:45:00-07:00,SYN1/RTU-3/COMP_STATUS,45.659,pct
226,2026-07-13T03:46:00-07:00,SYN1/RTU-3/COMP_STATUS,45.216,pct
227,2026-07-13T03:47:00-07:00,SYN1/RTU-3/COMP_STATUS,44.404,pct
228,2026-07-13T03:48:00-07:00,SYN1/RTU-3/COMP_STATUS,44.973,pct
229,2026-07-13T03:49:00-07:00,SYN1/RTU-3/COMP_STATUS,44.578,pct
230,2026-07-13T03:50:00-07:00,SYN1/RTU-3/COMP_STATUS,44.588,pct
231,2026-07-13T03:51:00-07:00,SYN1/RTU-3/COMP_STATUS,45.504,pct
232,2026-07-13T03:52:00-07:00,SYN1/RTU-3/COMP_STATUS,44.696,pct
233,2026-07-13T03:53:00-07:00,SYN1/RTU-3/COMP_STATUS,45.071,pct
234,2026-07-13T03:54:00-07:00,SYN1/RTU-3/COMP_STATUS,45.480,pct
235,2026-07-13T03:55:00-07:00,SYN1/RTU-3/COMP_STATUS,44.277,pct
236,2026-07-13T03:56:00-07:00,SYN1/RTU-3/COMP_STATUS,44.370,pct
237,2026-07-13T03:57:00-07:00,SYN1/RTU-3/COMP_STATUS,45.709,pct
238,2026-07-13T03:58:00-07:00,SYN1/RTU-3/COMP_STATUS,44.221,pct
239,2026-07-13T03:59:00-07:00,SYN1/RTU-3/COMP_STATUS,44.546,pct
240,2026-07-13T04:00:00-07:00,SYN1/RTU-3/COMP_STATUS,44.680,pct
241,2026-07-13T04:01:00-07:00,SYN1/RTU-3/COMP_STATUS,44.690,pct
242,2026-07-13T04:02:00-07:00,SYN1/RTU-3/COMP_STATUS,44.531,pct
243,2026-07-13T04:03:00-07:00,SYN1/RTU-3/COMP_STATUS,44.461,pct
244,2026-07-13T04:04:00-07:00,SYN1/RTU-3/COMP_STATUS,45.384,pct
245,2026-07-13T04:05:00-07:00,SYN1/RTU-3/COMP_STATUS,45.541,pct
246,2026-07-13T04:06:00-07:00,SYN1/RTU-3/COMP_STATUS,44.281,pct
247,2026-07-13T04:07:00-07:00,SYN1/RTU-3/COMP_STATUS,44.540,pct
248,2026-07-13T04:08:00-07:00,SYN1/RTU-3/COMP_STATUS,45.539,pct
249,2026-07-13T04:09:00-07:00,SYN1/RTU-3/COMP_STATUS,44.843,pct
250,2026-07-13T04:10:00-07:00,SYN1/RTU-3/COMP_STATUS,45.233,pct
251,2026-07-13T04:11:00-07:00,SYN1/RTU-3/COMP_STATUS,45.131,pct
252,2026-07-13T04:12:00-07:00,SYN1/RTU-3/COMP_STATUS,45.049,pct
253,2026-07-13T04:13:00-07:00,SYN1/RTU-3/COMP_STATUS,44.865,pct
254,2026-07-13T04:14:00-07:00,SYN1/RTU-3/COMP_STATUS,45.216,pct
255,2026-07-13T04:15:00-07:00,SYN1/RTU-3/COMP_STATUS,45.270,pct
256,2026-07-13T04:16:00-07:00,SYN1/RTU-3/COMP_STATUS,45.467,pct
257,2026-07-13T04:17:00-07:00,SYN1/RTU-3/COMP_STATUS,45.210,pct
258,2026-07-13T04:18:00-07:00,SYN1/RTU-3/COMP_STATUS,45.373,pct
259,2026-07-13T04:19:00-07:00,SYN1/RTU-3/COMP_STATUS,44.984,pct
260,2026-07-13T04:20:00-07:00,SYN1/RTU-3/COMP_STATUS,45.370,pct
261,2026-07-13T04:21:00-07:00,SYN1/RTU-3/COMP_STATUS,44.260,pct
262,2026-07-13T04:22:00-07:00,SYN1/RTU-3/COMP_STATUS,44.230,pct
263,2026-07-13T04:23:00-07:00,SYN1/RTU-3/COMP_STATUS,45.633,pct
264,2026-07-13T04:24:00-07:00,SYN1/RTU-3/COMP_STATUS,44.974,pct
265,2026-07-13T04:25:00-07:00,SYN1/RTU-3/COMP_STATUS,44.893,pct
266,2026-07-13T04:26:00-07:00,SYN1/RTU-3/COMP_STATUS,44.983,pct
267,2026-07-13T04:27:00-07:00,SYN1/RTU-3/COMP_STATUS,45.016,pct
268,2026-07-13T04:28:00-07:00,SYN1/RTU-3/COMP_STATUS,45.431,pct
269,2026-07-13T04:29:00-07:00,SYN1/RTU-3/COMP_STATUS,45.410,pct
270,2026-07-13T04:30:00-07:00,SYN1/RTU-3/COMP_STATUS,45.655,pct
271,2026-07-13T04:31:00-07:00,SYN1/RTU-3/COMP_STATUS,45.155,pct
272,2026-07-13T04:32:00-07:00,SYN1/RTU-3/COMP_STATUS,45.757,pct
273,2026-07-13T04:33:00-07:00,SYN1/RTU-3/COMP_STATUS,45.139,pct
274,2026-07-13T04:34:00-07:00,SYN1/RTU-3/COMP_STATUS,45.069,pct
275,2026-07-13T04:35:00-07:00,SYN1/RTU-3/COMP_STATUS,45.480,pct
276,2026-07-13T04:36:00-07:00,SYN1/RTU-3/COMP_STATUS,44.447,pct
277,2026-07-13T04:37:00-07:00,SYN1/RTU-3/COMP_STATUS,44.703,pct
278,2026-07-13T04:38:00-07:00,SYN1/RTU-3/COMP_STATUS,44.774,pct
279,2026-07-13T04:39:00-07:00,SYN1/RTU-3/COMP_STATUS,44.918,pct
280,2026-07-13T04:40:00-07:00,SYN1/RTU-3/COMP_STATUS,45.452,pct
281,2026-07-13T04:41:00-07:00,SYN1/RTU-3/COMP_STATUS,45.376,pct
282,2026-07-13T04:42:00-07:00,SYN1/RTU-3/COMP_STATUS,45.338,pct
283,2026-07-13T04:43:00-07:00,SYN1/RTU-3/COMP_STATUS,45.435,pct
284,2026-07-13T04:44:00-07:00,SYN1/RTU-3/COMP_STATUS,44.386,pct
285,2026-07-13T04:45:00-07:00,SYN1/RTU-3/COMP_STATUS,45.314,pct
286,2026-07-13T04:46:00-07:00,SYN1/RTU-3/COMP_STATUS,45.365,pct
287,2026-07-13T04:47:00-07:00,SYN1/RTU-3/COMP_STATUS,44.719,pct
288,2026-07-13T04:48:00-07:00,SYN1/RTU-3/COMP_STATUS,44.205,pct
289,2026-07-13T04:49:00-07:00,SYN1/RTU-3/COMP_STATUS,44.313,pct
290,2026-07-13T04:50:00-07:00,SYN1/RTU-3/COMP_STATUS,44.819,pct
291,2026-07-13T04:51:00-07:00,SYN1/RTU-3/COMP_STATUS,45.134,pct
292,2026-07-13T04:52:00-07:00,SYN1/RTU-3/COMP_STATUS,45.487,pct
293,2026-07-13T04:53:00-07:00,SYN1/RTU-3/COMP_STATUS,45.071,pct
294,2026-07-13T04:54:00-07:00,SYN1/RTU-3/COMP_STATUS,44.272,pct
295,2026-07-13T04:55:00-07:00,SYN1/RTU-3/COMP_STATUS,45.189,pct
296,2026-07-13T04:56:00-07:00,SYN1/RTU-3/COMP_STATUS,44.650,pct
297,2026-07-13T04:57:00-07:00,SYN1/RTU-3/COMP_STATUS,45.239,pct
298,2026-07-13T04:58:00-07:00,SYN1/RTU-3/COMP_STATUS,44.390,pct
299,2026-07-13T04:59:00-07:00,SYN1/RTU-3/COMP_STATUS,44.917,pct
300,2026-07-13T05:00:00-07:00,SYN1/RTU-3/COMP_STATUS,45.096,pct
301,2026-07-13T05:01:00-07:00,SYN1/RTU-3/COMP_STATUS,45.132,pct
302,2026-07-13T05:02:00-07:00,SYN1/RTU-3/COMP_STATUS,44.412,pct
